case,phase,model,policy,placement,reference,trial,submitted,n_intents,decision_correct,decision_accuracy,offer_correct,refer_count,best_calls,policy_calls,feasibility_calls,turns,total_tokens,reasoning_tokens,latency_s
intent_hard,negotiate,gpt-5.6-sol,exec,provider_inert,unit,0,True,3,3,1.0,3,0,0,3,0,3,8327,475,13.98
intent_hard,negotiate,gpt-5.6-sol,exec,provider_inert,unit,1,True,3,3,1.0,3,0,0,3,0,3,8421,546,14.84
intent_hard,negotiate,gpt-5.6-sol,exec,provider_inert,invariant,0,True,3,3,1.0,3,0,0,3,0,3,9715,616,13.56
intent_hard,negotiate,gpt-5.6-sol,exec,provider_inert,invariant,1,True,3,3,1.0,3,0,0,3,0,3,9672,631,14.54
intent_hard,negotiate,gpt-5.6-sol,exec,both_inert,unit,0,True,3,0,0.0,0,3,0,0,0,1,2723,531,10.67
intent_hard,negotiate,gpt-5.6-sol,exec,both_inert,unit,1,True,3,0,0.0,0,3,0,0,0,1,2546,354,6.58
intent_hard,negotiate,gpt-5.6-sol,exec,both_inert,invariant,0,True,3,0,0.0,0,3,0,0,0,1,2965,401,8.47
intent_hard,negotiate,gpt-5.6-sol,exec,both_inert,invariant,1,True,3,0,0.0,0,3,0,0,0,1,2967,403,7.6
intent_hard,negotiate,gpt-5.6-sol,resil,provider_inert,unit,0,True,3,3,1.0,2,0,0,3,0,3,8115,375,12.69
intent_hard,negotiate,gpt-5.6-sol,resil,provider_inert,unit,1,True,3,3,1.0,2,0,0,3,0,3,8199,408,12.84
intent_hard,negotiate,gpt-5.6-sol,resil,provider_inert,invariant,0,True,3,3,1.0,2,0,0,3,0,3,9360,463,12.28
intent_hard,negotiate,gpt-5.6-sol,resil,provider_inert,invariant,1,True,3,3,1.0,2,0,0,3,0,3,9288,416,13.2
intent_hard,negotiate,gpt-5.6-sol,resil,both_inert,unit,0,True,3,0,0.0,0,3,0,0,0,1,2550,361,8.19
intent_hard,negotiate,gpt-5.6-sol,resil,both_inert,unit,1,True,3,0,0.0,0,3,0,0,0,1,2561,372,8.29
intent_hard,negotiate,gpt-5.6-sol,resil,both_inert,invariant,0,True,3,0,0.0,0,3,0,0,0,1,2916,355,7.85
intent_hard,negotiate,gpt-5.6-sol,resil,both_inert,invariant,1,True,3,0,0.0,0,3,0,0,0,1,2898,337,6.6
intent_hard,negotiate,gpt-5.6-sol,bulk,provider_inert,unit,0,True,3,3,1.0,3,0,0,3,0,3,8001,323,13.9
intent_hard,negotiate,gpt-5.6-sol,bulk,provider_inert,unit,1,True,3,3,1.0,3,0,0,3,0,3,8067,367,12.34
intent_hard,negotiate,gpt-5.6-sol,bulk,provider_inert,invariant,0,True,3,3,1.0,3,0,0,3,0,3,9841,704,15.3
intent_hard,negotiate,gpt-5.6-sol,bulk,provider_inert,invariant,1,True,3,3,1.0,3,0,0,3,0,3,9413,476,21.16
intent_hard,negotiate,gpt-5.6-sol,bulk,both_inert,unit,0,True,3,0,0.0,0,3,0,0,0,1,2573,384,7.68
intent_hard,negotiate,gpt-5.6-sol,bulk,both_inert,unit,1,True,3,0,0.0,0,3,0,0,0,1,2453,264,6.37
intent_hard,negotiate,gpt-5.6-sol,bulk,both_inert,invariant,0,True,3,0,0.0,0,3,0,0,0,1,2776,215,6.62
intent_hard,negotiate,gpt-5.6-sol,bulk,both_inert,invariant,1,True,3,0,0.0,0,3,0,0,0,1,2930,369,8.71
intent_hard,negotiate,gpt-5-mini,exec,provider_inert,unit,0,True,3,3,1.0,3,0,0,3,0,4,15420,1856,28.74
intent_hard,negotiate,gpt-5-mini,exec,provider_inert,unit,1,True,3,3,1.0,3,0,0,3,0,3,11632,2048,28.15
intent_hard,negotiate,gpt-5-mini,exec,provider_inert,invariant,0,True,3,3,1.0,3,0,0,3,0,6,25697,1536,30.94
intent_hard,negotiate,gpt-5-mini,exec,provider_inert,invariant,1,True,3,3,1.0,3,0,0,3,0,6,27203,2112,35.81
intent_hard,negotiate,gpt-5-mini,exec,both_inert,unit,0,True,3,0,0.0,0,3,0,0,0,1,5119,2880,33.96
intent_hard,negotiate,gpt-5-mini,exec,both_inert,unit,1,True,3,0,0.0,0,3,0,0,0,1,4728,2496,30.15
intent_hard,negotiate,gpt-5-mini,exec,both_inert,invariant,0,True,3,0,0.0,0,3,0,0,0,1,4798,2176,33.54
intent_hard,negotiate,gpt-5-mini,exec,both_inert,invariant,1,True,3,0,0.0,0,3,0,0,0,1,4866,2240,34.58
intent_hard,negotiate,gpt-5-mini,resil,provider_inert,unit,0,True,3,3,1.0,2,0,0,3,0,5,22047,2432,45.71
intent_hard,negotiate,gpt-5-mini,resil,provider_inert,unit,1,True,3,3,1.0,2,0,0,3,0,6,22491,1536,34.74
intent_hard,negotiate,gpt-5-mini,resil,provider_inert,invariant,0,True,3,3,1.0,2,0,0,3,0,8,33259,1536,37.66
intent_hard,negotiate,gpt-5-mini,resil,provider_inert,invariant,1,True,3,3,1.0,2,0,0,3,0,3,12580,1984,37.59
intent_hard,negotiate,gpt-5-mini,resil,both_inert,unit,0,True,3,0,0.0,0,3,0,0,0,1,3913,1664,27.0
intent_hard,negotiate,gpt-5-mini,resil,both_inert,unit,1,True,3,0,0.0,0,3,0,0,0,1,3696,1472,23.15
intent_hard,negotiate,gpt-5-mini,resil,both_inert,invariant,0,True,3,0,0.0,0,3,0,0,0,1,3990,1408,21.51
intent_hard,negotiate,gpt-5-mini,resil,both_inert,invariant,1,True,3,0,0.0,0,3,0,0,0,1,4811,2240,33.35
intent_hard,negotiate,gpt-5-mini,bulk,provider_inert,unit,0,True,3,3,1.0,3,0,0,3,0,6,24671,1856,39.85
intent_hard,negotiate,gpt-5-mini,bulk,provider_inert,unit,1,True,3,3,1.0,3,0,0,3,0,8,27361,1280,33.85
intent_hard,negotiate,gpt-5-mini,bulk,provider_inert,invariant,0,True,3,3,1.0,3,0,0,3,0,5,21137,1664,35.04
intent_hard,negotiate,gpt-5-mini,bulk,provider_inert,invariant,1,True,3,3,1.0,3,0,0,3,0,5,22343,1984,37.58
intent_hard,negotiate,gpt-5-mini,bulk,both_inert,unit,0,True,3,0,0.0,0,3,0,0,0,1,3894,1664,18.02
intent_hard,negotiate,gpt-5-mini,bulk,both_inert,unit,1,True,3,0,0.0,0,3,0,0,0,1,3905,1664,19.17
intent_hard,negotiate,gpt-5-mini,bulk,both_inert,invariant,0,True,3,0,0.0,0,3,0,0,0,1,3982,1408,27.41
intent_hard,negotiate,gpt-5-mini,bulk,both_inert,invariant,1,True,3,0,0.0,0,3,0,0,0,1,4641,2048,33.52
intent_hard,negotiate,gpt-5-nano,exec,provider_inert,unit,0,True,3,3,1.0,3,0,0,3,0,6,52271,6528,57.91
intent_hard,negotiate,gpt-5-nano,exec,provider_inert,unit,1,True,3,2,0.667,2,0,0,0,0,2,15941,6272,45.95
intent_hard,negotiate,gpt-5-nano,exec,provider_inert,invariant,0,True,3,0,0.0,0,3,0,0,0,2,16684,6144,42.14
intent_hard,negotiate,gpt-5-nano,exec,provider_inert,invariant,1,True,3,0,0.0,0,3,0,0,0,2,9893,2816,23.4
intent_hard,negotiate,gpt-5-nano,exec,both_inert,unit,0,True,3,0,0.0,0,3,0,0,0,1,7750,5504,38.86
intent_hard,negotiate,gpt-5-nano,exec,both_inert,unit,1,True,3,0,0.0,0,3,0,0,0,1,7422,5184,36.26
intent_hard,negotiate,gpt-5-nano,exec,both_inert,invariant,0,True,3,0,0.0,0,3,0,0,0,8,84558,8000,64.24
intent_hard,negotiate,gpt-5-nano,exec,both_inert,invariant,1,True,3,0,0.0,0,3,0,0,0,1,9021,6400,45.09
intent_hard,negotiate,gpt-5-nano,resil,provider_inert,unit,0,True,3,3,1.0,2,0,0,3,0,3,21457,6336,49.03
intent_hard,negotiate,gpt-5-nano,resil,provider_inert,unit,1,True,3,3,1.0,2,0,0,3,0,5,44177,7296,53.2
intent_hard,negotiate,gpt-5-nano,resil,provider_inert,invariant,0,True,3,2,0.667,1,1,0,2,0,3,24475,7936,55.8
intent_hard,negotiate,gpt-5-nano,resil,provider_inert,invariant,1,True,3,1,0.333,1,0,0,0,0,2,17070,6464,49.15
intent_hard,negotiate,gpt-5-nano,resil,both_inert,unit,0,True,3,1,0.333,1,0,0,0,0,1,8819,6592,43.53
intent_hard,negotiate,gpt-5-nano,resil,both_inert,unit,1,True,3,0,0.0,0,3,0,0,0,5,37077,5248,38.97
intent_hard,negotiate,gpt-5-nano,resil,both_inert,invariant,0,True,3,0,0.0,0,3,0,0,0,2,17241,5888,43.01
intent_hard,negotiate,gpt-5-nano,resil,both_inert,invariant,1,True,3,1,0.333,1,0,0,0,0,2,14478,4736,34.93
intent_hard,negotiate,gpt-5-nano,bulk,provider_inert,unit,0,True,3,2,0.667,1,0,0,3,0,2,18038,6720,47.07
intent_hard,negotiate,gpt-5-nano,bulk,provider_inert,unit,1,True,3,2,0.667,2,0,0,3,0,5,39488,6912,52.53
intent_hard,negotiate,gpt-5-nano,bulk,provider_inert,invariant,0,True,3,3,1.0,3,0,0,3,0,8,76153,6784,58.26
intent_hard,negotiate,gpt-5-nano,bulk,provider_inert,invariant,1,True,3,3,1.0,3,0,0,3,0,5,45824,6976,56.66
intent_hard,negotiate,gpt-5-nano,bulk,both_inert,unit,0,True,3,0,0.0,0,3,0,0,0,8,84597,8384,78.03
intent_hard,negotiate,gpt-5-nano,bulk,both_inert,unit,1,True,3,2,0.667,1,0,0,0,0,2,14040,5376,41.77
intent_hard,negotiate,gpt-5-nano,bulk,both_inert,invariant,0,True,3,0,0.0,0,3,0,0,0,2,9933,3776,29.36
intent_hard,negotiate,gpt-5-nano,bulk,both_inert,invariant,1,True,3,2,0.667,1,0,0,0,0,3,33274,8832,59.72
