case,model_side,arm,consumer,trial,meaning_score,confabulation_rate,use_recall,use_precision,ambiguity_flag_recall,over_claim,total_tokens,reasoning_tokens,latency_s
config_cross_domain,a,bare,gpt-5.6-sol,0,1.0,0.0,1.0,0.857,0.0,1.0,2069,149,10.87
config_cross_domain,a,bare,gpt-5-mini,0,1.0,0.0,1.0,0.857,1.0,0.0,3542,1344,29.77
config_cross_domain,a,anchored,gpt-5.6-sol,0,1.0,0.0,1.0,0.857,0.0,1.0,3150,555,20.2
config_cross_domain,a,anchored,gpt-5-mini,0,1.0,0.0,1.0,0.857,1.0,0.0,4094,1216,31.54
config_cross_domain,a,bare,gpt-5.6-sol,1,1.0,0.0,1.0,0.857,0.0,1.0,2015,99,7.97
config_cross_domain,a,bare,gpt-5.6-sol,2,1.0,0.0,1.0,0.857,0.0,1.0,2057,139,9.32
config_cross_domain,a,bare,gpt-5-mini,1,0.8,0.0,1.0,0.857,0.0,1.0,3006,832,22.22
config_cross_domain,a,bare,gpt-5-mini,2,0.8,0.0,1.0,0.857,1.0,0.0,3415,1280,26.85
config_cross_domain,a,bare,gpt-5-nano,0,0.8,0.2,1.0,0.857,0.0,1.0,3928,2048,15.92
config_cross_domain,a,bare,gpt-5-nano,1,0.8,0.2,1.0,0.857,0.0,1.0,4537,2560,17.47
config_cross_domain,a,bare,gpt-5-nano,2,0.6,0.0,1.0,0.857,0.0,1.0,4439,2496,16.48
config_cross_domain,a,anchored,gpt-5.6-sol,1,1.0,0.0,1.0,0.857,0.0,1.0,2826,279,10.44
config_cross_domain,a,anchored,gpt-5.6-sol,2,1.0,0.0,1.0,0.857,0.0,1.0,2875,303,11.42
config_cross_domain,a,anchored,gpt-5-mini,1,1.0,0.0,1.0,0.5,1.0,0.0,4679,1728,39.42
config_cross_domain,a,anchored,gpt-5-mini,2,1.0,0.0,1.0,0.857,1.0,0.0,3872,1088,23.02
config_cross_domain,a,anchored,gpt-5-nano,0,0.8,0.0,1.0,0.857,0.0,1.0,5549,3008,22.74
config_cross_domain,a,anchored,gpt-5-nano,1,1.0,0.0,1.0,0.857,0.0,1.0,5050,2432,16.85
config_cross_domain,a,anchored,gpt-5-nano,2,1.0,0.0,0.0,0.0,0.0,1.0,5979,3328,21.65
config_big_hard,a,bare,gpt-5.6-sol,0,1.0,0.0,1.0,0.429,0.5,0.5,3612,305,12.76
config_big_hard,a,bare,gpt-5.6-sol,1,1.0,0.0,1.0,0.429,0.5,0.5,3542,243,12.48
config_big_hard,a,bare,gpt-5.6-sol,2,1.0,0.0,1.0,0.429,0.5,0.5,3546,217,13.0
config_big_hard,a,bare,gpt-5-mini,0,1.0,0.0,1.0,0.429,0.5,0.5,4943,1216,30.23
config_big_hard,a,bare,gpt-5-mini,1,1.0,0.0,1.0,0.429,0.5,0.5,5032,1600,29.42
config_big_hard,a,bare,gpt-5-mini,2,0.833,0.167,1.0,0.429,0.5,0.5,5007,1472,29.43
