case,stack,uses_reference,placement,proposed,true_positives,false_positives,false_negatives,surviving_false_cognates,precision,recall,f1,conf_correct_mean,conf_wrong_mean,calibration_gap,brier,confident_errors,confident_error_rate,residual,candidates,bilateral_checks,binding_ops,scaling,total_tokens,reasoning_tokens,latency_s,model
config_evpn_indeplex,baseline-label-matcher,False,n/a,6,4,2,4,1,0.667,0.5,0.571,,,,,,,11,6,6,0,~N^2,,,,
config_evpn_indeplex,reference-reconciler,True,n/a,0,0,0,8,0,0.0,0.0,0.0,,,,,,,21,0,0,19,~N,,,,
config_evpn_indeplex,openai-agent(no-ref),False,both_cognitive,8,8,0,0,0,1.0,1.0,1.0,0.96,,,0.002,0,0.0,5,8,0,0,~N^2,2758,117,10.31,gpt-5.6-sol
config_evpn_indeplex,openai-agent(no-ref),False,both_cognitive,8,8,0,0,0,1.0,1.0,1.0,0.956,,,0.003,0,0.0,5,8,0,0,~N^2,2732,116,11.85,gpt-5.6-sol
config_evpn_indeplex,openai-agent(no-ref),False,both_cognitive,8,8,0,0,0,1.0,1.0,1.0,0.961,,,0.002,0,0.0,5,8,0,0,~N^2,2722,132,9.21,gpt-5.6-sol
config_evpn_indeplex,openai-agent(ref),True,both_cognitive,8,8,0,0,0,1.0,1.0,1.0,0.984,,,0.0,0,0.0,5,8,0,19,~N,4059,88,8.17,gpt-5.6-sol
config_evpn_indeplex,openai-agent(ref),True,both_cognitive,8,8,0,0,0,1.0,1.0,1.0,0.984,,,0.0,0,0.0,5,8,0,19,~N,3917,0,5.66,gpt-5.6-sol
config_evpn_indeplex,openai-agent(ref),True,both_cognitive,8,8,0,0,0,1.0,1.0,1.0,0.984,,,0.0,0,0.0,5,8,0,19,~N,4045,69,7.49,gpt-5.6-sol
config_evpn_indeplex,openai-agent(no-ref),False,one_inert,7,7,0,1,0,1.0,0.875,0.933,0.964,,,0.002,0,0.0,7,7,0,0,~N^2,3226,653,28.76,gpt-5.6-sol
config_evpn_indeplex,openai-agent(no-ref),False,one_inert,8,8,0,0,0,1.0,1.0,1.0,0.935,,,0.008,0,0.0,5,8,0,0,~N^2,3733,1098,47.36,gpt-5.6-sol
