case,condition,model,placement,trial,precision,recall,surviving_false_cognates,residual,constructed_entries,construct_reasoning_tokens,construct_total_tokens,bind_reasoning_tokens,bind_total_tokens,total_reasoning_tokens,total_tokens
config_observability,no-ref,gpt-5.6-sol,both_cognitive,0,1.0,0.25,0,15,,0,0,512,2565,512,2565
config_observability,given-ref,gpt-5.6-sol,both_cognitive,0,1.0,0.75,0,11,,0,0,106,2876,106,2876
config_observability,constructed,gpt-5.6-sol,both_cognitive,0,1.0,0.75,0,11,14,512,3339,91,3214,603,6553
config_observability,no-ref,gpt-5.6-sol,both_cognitive,1,1.0,0.75,0,11,,0,0,231,2398,231,2398
config_observability,given-ref,gpt-5.6-sol,both_cognitive,1,1.0,0.75,0,11,,0,0,0,2734,0,2734
config_observability,constructed,gpt-5.6-sol,both_cognitive,1,1.0,0.75,0,11,14,341,3144,97,3196,438,6340
config_observability,no-ref,gpt-5.6-sol,both_cognitive,2,1.0,0.75,0,11,,0,0,324,2471,324,2471
config_observability,given-ref,gpt-5.6-sol,both_cognitive,2,1.0,0.75,0,11,,0,0,60,2818,60,2818
config_observability,constructed,gpt-5.6-sol,both_cognitive,2,1.0,0.75,0,11,14,433,3272,52,3173,485,6445
config_observability,no-ref,gpt-5.6-sol,one_inert,0,1.0,0.5,0,13,,0,0,333,2292,333,2292
config_observability,given-ref,gpt-5.6-sol,one_inert,0,1.0,0.75,0,11,,0,0,149,2748,149,2748
config_observability,constructed,gpt-5.6-sol,one_inert,0,1.0,0.75,0,11,14,279,3072,0,2833,279,5905
config_observability,no-ref,gpt-5.6-sol,one_inert,1,1.0,0.5,0,13,,0,0,257,2209,257,2209
config_observability,given-ref,gpt-5.6-sol,one_inert,1,1.0,0.75,0,11,,0,0,172,2760,172,2760
config_observability,constructed,gpt-5.6-sol,one_inert,1,1.0,0.75,0,11,14,318,3091,63,2884,381,5975
config_observability,no-ref,gpt-5.6-sol,one_inert,2,1.0,0.5,0,13,,0,0,155,2112,155,2112
config_observability,given-ref,gpt-5.6-sol,one_inert,2,1.0,0.75,0,11,,0,0,160,2764,160,2764
config_observability,constructed,gpt-5.6-sol,one_inert,2,1.0,0.75,0,11,14,512,3311,66,2925,578,6236
config_observability,no-ref,gpt-5-mini,both_cognitive,0,1.0,0.75,0,11,,0,0,1472,3737,1472,3737
config_observability,given-ref,gpt-5-mini,both_cognitive,0,1.0,0.75,0,11,,0,0,832,3695,832,3695
config_observability,constructed,gpt-5-mini,both_cognitive,0,1.0,0.5,0,13,15,2368,5273,896,4121,3264,9394
config_observability,no-ref,gpt-5-mini,both_cognitive,1,1.0,0.75,0,11,,0,0,1408,3686,1408,3686
config_observability,given-ref,gpt-5-mini,both_cognitive,1,1.0,0.75,0,11,,0,0,512,3386,512,3386
config_observability,constructed,gpt-5-mini,both_cognitive,1,1.0,0.5,0,13,15,1600,4876,1280,4478,2880,9354
config_observability,no-ref,gpt-5-mini,both_cognitive,2,1.0,0.75,0,11,,0,0,1408,3751,1408,3751
config_observability,given-ref,gpt-5-mini,both_cognitive,2,1.0,0.75,0,11,,0,0,1280,4130,1280,4130
config_observability,constructed,gpt-5-mini,both_cognitive,2,0.75,0.75,0,10,13,2688,5875,1536,4658,4224,10533
config_observability,no-ref,gpt-5-mini,one_inert,0,0.75,0.75,1,9,,0,0,1344,3570,1344,3570
config_observability,given-ref,gpt-5-mini,one_inert,0,1.0,0.75,0,11,,0,0,1984,4705,1984,4705
config_observability,constructed,gpt-5-mini,one_inert,0,1.0,0.75,0,11,13,2304,5419,1920,4740,4224,10159
config_observability,no-ref,gpt-5-mini,one_inert,1,0.75,0.75,1,9,,0,0,1728,3971,1728,3971
config_observability,given-ref,gpt-5-mini,one_inert,1,1.0,0.75,0,11,,0,0,1600,4337,1600,4337
config_observability,constructed,gpt-5-mini,one_inert,1,1.0,0.75,0,11,14,1408,4599,1600,4500,3008,9099
config_observability,no-ref,gpt-5-mini,one_inert,2,0.75,0.75,1,9,,0,0,1280,3494,1280,3494
config_observability,given-ref,gpt-5-mini,one_inert,2,1.0,0.75,0,11,,0,0,1152,3861,1152,3861
config_observability,constructed,gpt-5-mini,one_inert,2,1.0,0.5,0,13,13,2496,5672,1728,4580,4224,10252
config_observability,no-ref,gpt-5-nano,both_cognitive,0,1.0,0.75,0,11,,0,0,3456,5701,3456,5701
config_observability,given-ref,gpt-5-nano,both_cognitive,0,1.0,0.75,0,11,,0,0,3136,6000,3136,6000
config_observability,constructed,gpt-5-nano,both_cognitive,0,1.0,0.75,0,11,9,6720,9449,2752,5449,9472,14898
config_observability,no-ref,gpt-5-nano,both_cognitive,1,0.75,0.75,1,9,,0,0,3456,5714,3456,5714
config_observability,given-ref,gpt-5-nano,both_cognitive,1,1.0,0.75,0,11,,0,0,2112,4860,2112,4860
config_observability,constructed,gpt-5-nano,both_cognitive,1,1.0,0.75,0,11,14,9536,12692,3712,6870,13248,19562
config_observability,no-ref,gpt-5-nano,both_cognitive,2,1.0,0.75,0,11,,0,0,2240,4474,2240,4474
config_observability,given-ref,gpt-5-nano,both_cognitive,2,1.0,0.75,0,11,,0,0,1856,4669,1856,4669
config_observability,constructed,gpt-5-nano,both_cognitive,2,1.0,0.75,0,11,14,8192,11331,2624,5738,10816,17069
config_observability,no-ref,gpt-5-nano,one_inert,0,0.75,0.75,1,9,,0,0,3392,5521,3392,5521
config_observability,given-ref,gpt-5-nano,one_inert,0,1.0,0.75,0,11,,0,0,3328,6071,3328,6071
config_observability,constructed,gpt-5-nano,one_inert,0,0.0,0.0,0,17,3,6272,8527,2048,3987,8320,12514
config_observability,no-ref,gpt-5-nano,one_inert,1,0.75,0.75,1,9,,0,0,4416,6620,4416,6620
config_observability,given-ref,gpt-5-nano,one_inert,1,1.0,0.75,0,11,,0,0,3328,6090,3328,6090
config_observability,constructed,gpt-5-nano,one_inert,1,1.0,0.75,0,11,14,8384,11534,2880,5788,11264,17322
config_observability,no-ref,gpt-5-nano,one_inert,2,0.75,0.75,1,9,,0,0,2688,4801,2688,4801
config_observability,given-ref,gpt-5-nano,one_inert,2,1.0,0.75,0,11,,0,0,3648,6339,3648,6339
config_observability,constructed,gpt-5-nano,one_inert,2,1.0,0.75,0,11,12,8512,11251,1984,4680,10496,15931
