case,setting,condition,model,trial,precision,resolved_fraction,surviving_false_cognates,residual,frame_entries,experiments,turns,construct_tokens,total_tokens,reasoning_tokens
config_cross_domain,3 · cross-domain,experiment,gpt-5.6-sol,0,1.0,0.8,0,7,,4,6,,30881,1513
config_cross_domain,3 · cross-domain,construct+experiment,gpt-5.6-sol,0,1.0,1.0,0,5,10,0,4,3688,16960,627
config_cross_domain,3 · cross-domain,construct-only,gpt-5.6-sol,0,1.0,1.0,0,5,10,0,4,3688,16506,765
config_cross_domain,3 · cross-domain,reference,gpt-5.6-sol,0,1.0,1.0,0,5,,0,4,,16818,605
config_cross_domain,3 · cross-domain,experiment,gpt-5.6-sol,1,1.0,0.2,0,13,,1,4,,17798,1217
config_cross_domain,3 · cross-domain,construct+experiment,gpt-5.6-sol,1,1.0,0.8,0,7,12,1,4,3293,20309,1110
config_cross_domain,3 · cross-domain,construct-only,gpt-5.6-sol,1,1.0,0.6,0,9,12,0,4,3293,17751,1190
config_cross_domain,3 · cross-domain,reference,gpt-5.6-sol,1,1.0,1.0,0,5,,0,4,,17109,799
config_tapi_teas,1 · configuration (flagship),experiment,gpt-5.6-sol,0,1.0,0.778,0,6,,5,6,,36118,2161
config_tapi_teas,1 · configuration (flagship),construct+experiment,gpt-5.6-sol,0,1.0,1.0,0,2,11,0,2,3480,9731,299
config_tapi_teas,1 · configuration (flagship),construct-only,gpt-5.6-sol,0,1.0,1.0,0,2,11,0,2,3480,9402,335
config_tapi_teas,1 · configuration (flagship),reference,gpt-5.6-sol,0,1.0,1.0,0,2,,0,4,,19853,438
config_tapi_teas,1 · configuration (flagship),experiment,gpt-5.6-sol,1,1.0,1.0,0,2,,3,6,,32015,1338
config_tapi_teas,1 · configuration (flagship),construct+experiment,gpt-5.6-sol,1,0.9,1.0,0,0,10,0,2,3400,9454,130
config_tapi_teas,1 · configuration (flagship),construct-only,gpt-5.6-sol,1,0.9,1.0,0,0,10,0,2,3400,9199,181
config_tapi_teas,1 · configuration (flagship),reference,gpt-5.6-sol,1,1.0,1.0,0,2,,0,4,,19867,395
config_big_hard,1 · configuration (hard),experiment,gpt-5.6-sol,0,1.0,1.0,0,7,,8,6,,50091,2988
config_big_hard,1 · configuration (hard),construct+experiment,gpt-5.6-sol,0,1.0,1.0,0,7,19,0,2,5991,13559,391
config_big_hard,1 · configuration (hard),construct-only,gpt-5.6-sol,0,1.0,1.0,0,7,19,0,4,5991,27665,648
config_big_hard,1 · configuration (hard),reference,gpt-5.6-sol,0,1.0,1.0,0,7,,0,4,,29230,1075
config_big_hard,1 · configuration (hard),experiment,gpt-5.6-sol,1,1.0,0.917,0,9,,3,6,,46744,3500
config_big_hard,1 · configuration (hard),construct+experiment,gpt-5.6-sol,1,0.923,1.0,0,5,18,0,4,5578,28482,514
config_big_hard,1 · configuration (hard),construct-only,gpt-5.6-sol,1,0.923,1.0,0,5,18,0,4,5578,27966,572
config_big_hard,1 · configuration (hard),reference,gpt-5.6-sol,1,1.0,1.0,0,7,,0,4,,30369,1156
config_observability,4 · observability,experiment,gpt-5.6-sol,0,1.0,0.75,0,11,,2,4,,19191,982
config_observability,4 · observability,construct+experiment,gpt-5.6-sol,0,1.0,0.75,0,11,14,0,2,3240,8550,551
config_observability,4 · observability,construct-only,gpt-5.6-sol,0,1.0,0.75,0,11,14,0,2,3240,8055,380
config_observability,4 · observability,reference,gpt-5.6-sol,0,1.0,0.75,0,11,,0,4,,17176,623
config_observability,4 · observability,experiment,gpt-5.6-sol,1,1.0,0.75,0,11,,1,4,,17432,958
config_observability,4 · observability,construct+experiment,gpt-5.6-sol,1,1.0,0.75,0,11,14,1,4,3266,17652,906
config_observability,4 · observability,construct-only,gpt-5.6-sol,1,1.0,0.5,0,13,14,0,2,3266,8256,542
config_observability,4 · observability,reference,gpt-5.6-sol,1,1.0,0.75,0,11,,0,4,,17780,874
