case,setting,condition,model,trial,precision,resolved_fraction,surviving_false_cognates,residual,frame_entries,experiments,turns,construct_tokens,total_tokens,reasoning_tokens
config_l3vpn,config_l3vpn,experiment,gpt-5.6-sol,0,1.0,1.0,0,4,,3,4,,20339,1120
config_l3vpn,config_l3vpn,construct+experiment,gpt-5.6-sol,0,1.0,1.0,0,4,15,0,4,4124,24838,540
config_l3vpn,config_l3vpn,construct-only,gpt-5.6-sol,0,1.0,1.0,0,4,15,0,2,4124,11517,310
config_l3vpn,config_l3vpn,reference,gpt-5.6-sol,0,1.0,1.0,0,4,,0,4,,25218,937
config_l3vpn,config_l3vpn,experiment,gpt-5.6-sol,1,1.0,0.909,0,6,,1,4,,22576,1086
config_l3vpn,config_l3vpn,construct+experiment,gpt-5.6-sol,1,1.0,1.0,0,4,15,0,2,4027,11913,389
config_l3vpn,config_l3vpn,construct-only,gpt-5.6-sol,1,1.0,1.0,0,4,15,0,2,4027,11542,330
config_l3vpn,config_l3vpn,reference,gpt-5.6-sol,1,1.0,1.0,0,4,,0,6,,44195,923
config_evpn,config_evpn,experiment,gpt-5.6-sol,0,1.0,1.0,0,5,,4,4,,19794,1035
config_evpn,config_evpn,construct+experiment,gpt-5.6-sol,0,1.0,1.0,0,5,13,0,2,3778,10151,362
config_evpn,config_evpn,construct-only,gpt-5.6-sol,0,1.0,1.0,0,5,13,0,2,3778,9808,370
config_evpn,config_evpn,reference,gpt-5.6-sol,0,1.0,1.0,0,5,,0,4,,21229,743
config_evpn,config_evpn,experiment,gpt-5.6-sol,1,1.0,1.0,0,5,,9,4,,22609,851
config_evpn,config_evpn,construct+experiment,gpt-5.6-sol,1,1.0,1.0,0,5,13,0,2,3590,10066,271
config_evpn,config_evpn,construct-only,gpt-5.6-sol,1,1.0,1.0,0,5,13,0,4,3590,20350,503
config_evpn,config_evpn,reference,gpt-5.6-sol,1,1.0,1.0,0,5,,0,4,,21435,771
config_xdom_ran,config_xdom_ran,experiment,gpt-5.6-sol,0,1.0,0.6,0,10,,3,6,,31196,1695
config_xdom_ran,config_xdom_ran,construct+experiment,gpt-5.6-sol,0,1.0,0.8,0,8,12,0,4,3272,17514,554
config_xdom_ran,config_xdom_ran,construct-only,gpt-5.6-sol,0,1.0,0.8,0,8,12,0,4,3272,18055,811
