case,model,condition,uses_reference,source_model,trial,precision,recall,seam_recall,took_grade_cognate,surviving_false_cognates,residual,confident_errors,confident_error_rate,conf_wrong_mean,calibration_gap,source_queries,reasoning_tokens,missed
config_cross_domain,gpt-5.6-sol,inert,False,,0,1.0,0.2,0.5,0,0,13,0,0.0,,,0,391,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,inert,False,,1,1.0,0.2,0.5,0,0,13,0,0.0,,,0,232,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,inert,False,,2,1.0,0.2,0.5,0,0,13,0,0.0,,,0,400,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,inert,False,,3,1.0,0.2,0.5,0,0,13,0,0.0,,,0,313,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,cognitive,False,gpt-5.6-sol,0,1.0,0.4,0.5,0,0,11,0,0.0,,,7,973,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection
config_cross_domain,gpt-5.6-sol,cognitive,False,gpt-5.6-sol,1,1.0,0.4,0.5,0,0,11,0,0.0,,,7,941,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection
config_cross_domain,gpt-5.6-sol,cognitive,False,gpt-5.6-sol,2,1.0,0.4,0.5,0,0,11,0,0.0,,,7,870,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection
config_cross_domain,gpt-5.6-sol,cognitive,False,gpt-5.6-sol,3,1.0,0.4,0.5,0,0,11,0,0.0,,,7,923,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection
config_cross_domain,gpt-5.6-sol,rich,False,,0,1.0,0.2,0.5,0,0,13,0,0.0,,,0,671,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,rich,False,,1,1.0,0.2,0.5,0,0,13,0,0.0,,,0,414,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,rich,False,,2,1.0,0.4,0.5,0,0,11,0,0.0,,,0,1180,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection
config_cross_domain,gpt-5.6-sol,rich,False,,3,1.0,0.4,0.5,0,0,11,0,0.0,,,0,644,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection
config_cross_domain,gpt-5.6-sol,inert,True,,0,1.0,1.0,1.0,0,0,5,0,0.0,,,0,185,
config_cross_domain,gpt-5.6-sol,inert,True,,1,1.0,1.0,1.0,0,0,5,0,0.0,,,0,190,
config_cross_domain,gpt-5.6-sol,inert,True,,2,1.0,1.0,1.0,0,0,5,0,0.0,,,0,206,
config_cross_domain,gpt-5.6-sol,inert,True,,3,1.0,1.0,1.0,0,0,5,0,0.0,,,0,167,
config_cross_domain,gpt-5.6-sol,cognitive,True,gpt-5.6-sol,0,1.0,0.8,1.0,0,0,7,0,0.0,,,7,279,c.latency~m.latency
config_cross_domain,gpt-5.6-sol,cognitive,True,gpt-5.6-sol,1,1.0,0.8,1.0,0,0,7,0,0.0,,,7,276,c.latency~m.latency
config_cross_domain,gpt-5.6-sol,cognitive,True,gpt-5.6-sol,2,1.0,0.8,1.0,0,0,7,0,0.0,,,7,342,c.latency~m.latency
config_cross_domain,gpt-5.6-sol,cognitive,True,gpt-5.6-sol,3,1.0,0.8,1.0,0,0,7,0,0.0,,,7,322,c.latency~m.latency
config_cross_domain,gpt-5.6-sol,rich,True,,0,1.0,0.8,1.0,0,0,7,0,0.0,,,0,225,c.latency~m.latency
config_cross_domain,gpt-5.6-sol,rich,True,,1,1.0,0.8,1.0,0,0,7,0,0.0,,,0,337,c.latency~m.latency
config_cross_domain,gpt-5.6-sol,rich,True,,2,1.0,0.8,1.0,0,0,7,0,0.0,,,0,226,c.latency~m.latency
config_cross_domain,gpt-5.6-sol,rich,True,,3,1.0,0.8,1.0,0,0,7,0,0.0,,,0,195,c.latency~m.latency
config_cross_domain,gpt-5-mini,inert,False,,0,0.833,1.0,1.0,1,1,3,0,0.0,0.7,0.17,0,1280,
config_cross_domain,gpt-5-mini,inert,False,,1,0.833,1.0,1.0,1,1,3,1,0.167,0.8,0.13,0,960,
config_cross_domain,gpt-5-mini,inert,False,,2,0.833,1.0,1.0,1,1,3,1,0.167,0.85,-0.01,0,1152,
config_cross_domain,gpt-5-mini,inert,False,,3,0.833,1.0,1.0,1,1,3,0,0.0,0.75,0.1,0,1408,
config_cross_domain,gpt-5-mini,cognitive,False,gpt-5.6-sol,0,1.0,1.0,1.0,0,0,5,0,0.0,,,7,1216,
config_cross_domain,gpt-5-mini,cognitive,False,gpt-5.6-sol,1,1.0,1.0,1.0,0,0,5,0,0.0,,,7,1088,
config_cross_domain,gpt-5-mini,cognitive,False,gpt-5.6-sol,2,1.0,1.0,1.0,0,0,5,0,0.0,,,7,1088,
config_cross_domain,gpt-5-mini,cognitive,False,gpt-5.6-sol,3,1.0,1.0,1.0,0,0,5,0,0.0,,,7,1024,
config_cross_domain,gpt-5-mini,rich,False,,0,1.0,1.0,1.0,0,0,5,0,0.0,,,0,1024,
config_cross_domain,gpt-5-mini,rich,False,,1,1.0,1.0,1.0,0,0,5,0,0.0,,,0,1408,
config_cross_domain,gpt-5-mini,rich,False,,2,1.0,1.0,1.0,0,0,5,0,0.0,,,0,896,
config_cross_domain,gpt-5-mini,rich,False,,3,1.0,1.0,1.0,0,0,5,0,0.0,,,0,1024,
config_cross_domain,gpt-5-mini,inert,True,,0,1.0,1.0,1.0,0,0,5,0,0.0,,,0,1152,
config_cross_domain,gpt-5-mini,inert,True,,1,1.0,1.0,1.0,0,0,5,0,0.0,,,0,1152,
config_cross_domain,gpt-5-mini,inert,True,,2,1.0,1.0,1.0,0,0,5,0,0.0,,,0,1152,
config_cross_domain,gpt-5-mini,inert,True,,3,1.0,1.0,1.0,0,0,5,0,0.0,,,0,1088,
config_cross_domain,gpt-5-mini,cognitive,True,gpt-5.6-sol,0,1.0,1.0,1.0,0,0,5,0,0.0,,,7,576,
config_cross_domain,gpt-5-mini,cognitive,True,gpt-5.6-sol,1,1.0,1.0,1.0,0,0,5,0,0.0,,,7,896,
config_cross_domain,gpt-5-mini,cognitive,True,gpt-5.6-sol,2,1.0,1.0,1.0,0,0,5,0,0.0,,,7,1088,
config_cross_domain,gpt-5-mini,cognitive,True,gpt-5.6-sol,3,1.0,1.0,1.0,0,0,5,0,0.0,,,7,896,
config_cross_domain,gpt-5-mini,rich,True,,0,1.0,1.0,1.0,0,0,5,0,0.0,,,0,1088,
config_cross_domain,gpt-5-mini,rich,True,,1,1.0,1.0,1.0,0,0,5,0,0.0,,,0,960,
config_cross_domain,gpt-5-mini,rich,True,,2,1.0,1.0,1.0,0,0,5,0,0.0,,,0,832,
config_cross_domain,gpt-5-mini,rich,True,,3,1.0,1.0,1.0,0,0,5,0,0.0,,,0,768,
config_cross_domain,gpt-5-nano,inert,False,,0,0.833,1.0,1.0,1,1,3,0,0.0,0.7,0.1,0,3200,
config_cross_domain,gpt-5-nano,inert,False,,1,0.571,0.8,0.5,1,1,1,2,0.286,0.867,0.038,0,4672,c.underlay~m.circuit
config_cross_domain,gpt-5-nano,inert,False,,2,0.714,1.0,1.0,1,1,2,1,0.143,0.8,-0.004,0,5312,
config_cross_domain,gpt-5-nano,inert,False,,3,0.714,1.0,1.0,1,1,1,0,0.0,0.685,0.139,0,5952,
config_cross_domain,gpt-5-nano,cognitive,False,gpt-5.6-sol,0,0.833,1.0,1.0,1,1,3,1,0.167,0.82,0.088,7,2944,
config_cross_domain,gpt-5-nano,cognitive,False,gpt-5.6-sol,1,0.714,1.0,1.0,1,1,2,1,0.143,0.785,0.097,7,4480,
config_cross_domain,gpt-5-nano,cognitive,False,gpt-5.6-sol,2,0.833,1.0,1.0,1,1,3,1,0.167,0.9,0.018,7,3200,
config_cross_domain,gpt-5-nano,cognitive,False,gpt-5.6-sol,3,0.833,1.0,1.0,1,1,3,1,0.167,0.8,0.07,7,4608,
config_cross_domain,gpt-5-nano,rich,False,,0,0.833,1.0,1.0,1,1,3,1,0.167,0.8,0.02,0,4416,
config_cross_domain,gpt-5-nano,rich,False,,1,0.833,1.0,1.0,1,1,3,1,0.167,0.85,0.0,0,4608,
config_cross_domain,gpt-5-nano,rich,False,,2,0.833,1.0,1.0,1,1,3,0,0.0,0.7,0.204,0,4224,
config_cross_domain,gpt-5-nano,rich,False,,3,0.833,1.0,1.0,1,1,3,0,0.0,0.75,0.08,0,3520,
config_cross_domain,gpt-5-nano,inert,True,,0,0.667,0.8,0.5,1,1,3,2,0.333,0.915,0.015,0,3776,c.underlay~m.circuit
config_cross_domain,gpt-5-nano,inert,True,,1,0.833,1.0,1.0,1,1,3,0,0.0,0.7,0.2,0,4992,
config_cross_domain,gpt-5-nano,inert,True,,2,0.714,1.0,1.0,1,1,2,1,0.143,0.75,0.178,0,7424,
config_cross_domain,gpt-5-nano,inert,True,,3,1.0,1.0,1.0,0,0,5,0,0.0,,,0,6016,
config_cross_domain,gpt-5-nano,cognitive,True,gpt-5.6-sol,0,1.0,1.0,1.0,0,0,5,0,0.0,,,7,4416,
config_cross_domain,gpt-5-nano,cognitive,True,gpt-5.6-sol,1,1.0,0.8,0.5,0,0,7,0,0.0,,,7,4800,c.attachment~m.handoff
config_cross_domain,gpt-5-nano,cognitive,True,gpt-5.6-sol,2,1.0,1.0,1.0,0,0,5,0,0.0,,,7,3648,
config_cross_domain,gpt-5-nano,cognitive,True,gpt-5.6-sol,3,1.0,1.0,1.0,0,0,5,0,0.0,,,7,4096,
config_cross_domain,gpt-5-nano,rich,True,,0,1.0,1.0,1.0,0,0,5,0,0.0,,,0,4480,
