case,model,condition,uses_reference,source_model,trial,precision,recall,seam_recall,took_grade_cognate,surviving_false_cognates,residual,confident_errors,confident_error_rate,conf_wrong_mean,calibration_gap,source_queries,reasoning_tokens,missed
config_rest,gpt-5.6-sol,inert,False,,0,1.0,0.2,0.0,0,0,13,0,0.0,,,0,390,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5.6-sol,inert,False,,1,1.0,0.2,0.0,0,0,13,0,0.0,,,0,247,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5.6-sol,inert,False,,2,1.0,0.2,0.0,0,0,13,0,0.0,,,0,233,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5.6-sol,inert,False,,3,1.0,0.2,0.0,0,0,13,0,0.0,,,0,253,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5.6-sol,cognitive,False,gpt-5.6-sol,0,1.0,0.2,0.0,0,0,13,0,0.0,,,7,168,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5.6-sol,cognitive,False,gpt-5.6-sol,1,1.0,0.2,0.0,0,0,13,0,0.0,,,7,178,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5.6-sol,cognitive,False,gpt-5.6-sol,2,1.0,0.2,0.0,0,0,13,0,0.0,,,7,151,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5.6-sol,cognitive,False,gpt-5.6-sol,3,1.0,0.2,0.0,0,0,13,0,0.0,,,7,152,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5.6-sol,rich,False,,0,1.0,0.2,0.0,0,0,13,0,0.0,,,0,188,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5.6-sol,rich,False,,1,1.0,0.2,0.0,0,0,13,0,0.0,,,0,106,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5.6-sol,rich,False,,2,1.0,0.2,0.0,0,0,13,0,0.0,,,0,117,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5.6-sol,rich,False,,3,1.0,0.2,0.0,0,0,13,0,0.0,,,0,144,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5.6-sol,inert,True,,0,1.0,1.0,1.0,0,0,5,0,0.0,,,0,58,
config_rest,gpt-5.6-sol,inert,True,,1,1.0,1.0,1.0,0,0,5,0,0.0,,,0,58,
config_rest,gpt-5.6-sol,inert,True,,2,1.0,1.0,1.0,0,0,5,0,0.0,,,0,68,
config_rest,gpt-5.6-sol,inert,True,,3,1.0,1.0,1.0,0,0,5,0,0.0,,,0,75,
config_rest,gpt-5.6-sol,cognitive,True,gpt-5.6-sol,0,1.0,1.0,1.0,0,0,5,0,0.0,,,7,62,
config_rest,gpt-5.6-sol,cognitive,True,gpt-5.6-sol,1,1.0,1.0,1.0,0,0,5,0,0.0,,,7,60,
config_rest,gpt-5.6-sol,cognitive,True,gpt-5.6-sol,2,1.0,1.0,1.0,0,0,5,0,0.0,,,7,60,
config_rest,gpt-5.6-sol,cognitive,True,gpt-5.6-sol,3,1.0,1.0,1.0,0,0,5,0,0.0,,,7,67,
config_rest,gpt-5.6-sol,rich,True,,0,1.0,1.0,1.0,0,0,5,0,0.0,,,0,59,
config_rest,gpt-5.6-sol,rich,True,,1,1.0,1.0,1.0,0,0,5,0,0.0,,,0,61,
config_rest,gpt-5.6-sol,rich,True,,2,1.0,1.0,1.0,0,0,5,0,0.0,,,0,60,
config_rest,gpt-5.6-sol,rich,True,,3,1.0,1.0,1.0,0,0,5,0,0.0,,,0,59,
config_rest,gpt-5-mini,inert,False,,0,1.0,0.2,0.0,0,0,13,0,0.0,,,0,1856,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5-mini,inert,False,,1,1.0,0.6,1.0,0,0,9,0,0.0,,,0,1856,p.item~s.item;p.order~s.order
config_rest,gpt-5-mini,inert,False,,2,1.0,0.2,0.0,0,0,13,0,0.0,,,0,1472,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5-mini,inert,False,,3,0.833,1.0,1.0,1,1,3,0,0.0,0.7,0.0,0,2240,
config_rest,gpt-5-mini,cognitive,False,gpt-5.6-sol,0,1.0,0.2,0.0,0,0,13,0,0.0,,,7,1024,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5-mini,cognitive,False,gpt-5.6-sol,1,1.0,0.2,0.0,0,0,13,0,0.0,,,7,1216,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5-mini,cognitive,False,gpt-5.6-sol,2,1.0,0.2,0.0,0,0,13,0,0.0,,,7,1280,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5-mini,cognitive,False,gpt-5.6-sol,3,1.0,0.2,0.0,0,0,13,0,0.0,,,7,1344,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5-mini,rich,False,,0,1.0,0.2,0.0,0,0,13,0,0.0,,,0,1280,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5-mini,rich,False,,1,1.0,0.2,0.0,0,0,13,0,0.0,,,0,1280,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5-mini,rich,False,,2,1.0,0.2,0.0,0,0,13,0,0.0,,,0,896,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5-mini,rich,False,,3,1.0,0.2,0.0,0,0,13,0,0.0,,,0,960,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5-mini,inert,True,,0,1.0,1.0,1.0,0,0,5,0,0.0,,,0,832,
config_rest,gpt-5-mini,inert,True,,1,1.0,1.0,1.0,0,0,5,0,0.0,,,0,1088,
config_rest,gpt-5-mini,inert,True,,2,1.0,1.0,1.0,0,0,5,0,0.0,,,0,1024,
config_rest,gpt-5-mini,inert,True,,3,1.0,1.0,1.0,0,0,5,0,0.0,,,0,832,
config_rest,gpt-5-mini,cognitive,True,gpt-5.6-sol,0,1.0,1.0,1.0,0,0,5,0,0.0,,,7,832,
