case,phase,model,placement,reference,trial,submitted,n_intents,satisfaction_correct,satisfaction_accuracy,eo_correct,eo_total,fabricated,feasibility_calls,turns,total_tokens,reasoning_tokens,latency_s
intent_dci,refine,gpt-5.6-sol,both_cognitive,none,0,True,6,6,1.0,2,2,0,13,2,5608,157,9.4
intent_dci,refine,gpt-5.6-sol,both_cognitive,none,1,True,6,6,1.0,2,2,0,13,2,5874,287,10.15
intent_dci,refine,gpt-5.6-sol,both_cognitive,unit,0,True,6,6,1.0,2,2,0,12,3,10247,533,14.51
intent_dci,refine,gpt-5.6-sol,both_cognitive,unit,1,True,6,6,1.0,2,2,0,13,2,6463,275,9.96
intent_dci,refine,gpt-5.6-sol,both_cognitive,invariant,0,True,6,6,1.0,2,2,0,13,2,7216,327,9.5
intent_dci,refine,gpt-5.6-sol,both_cognitive,invariant,1,True,6,6,1.0,2,2,0,10,3,10573,352,9.95
intent_dci,refine,gpt-5.6-sol,provider_inert,none,0,True,6,4,0.667,0,2,0,0,2,5236,385,11.61
intent_dci,refine,gpt-5.6-sol,provider_inert,none,1,True,6,4,0.667,0,2,0,0,2,5338,495,11.95
intent_dci,refine,gpt-5.6-sol,provider_inert,unit,0,True,6,4,0.667,0,2,0,0,2,5889,367,12.53
intent_dci,refine,gpt-5.6-sol,provider_inert,unit,1,True,6,4,0.667,0,2,0,0,2,6052,424,11.69
intent_dci,refine,gpt-5.6-sol,provider_inert,invariant,0,True,6,4,0.667,0,2,0,0,2,5995,320,8.44
intent_dci,refine,gpt-5.6-sol,provider_inert,invariant,1,True,6,4,0.667,0,2,0,0,1,2628,176,4.7
intent_dci,refine,gpt-5.6-sol,both_inert,none,0,True,6,2,0.333,0,2,0,0,1,2022,255,5.19
intent_dci,refine,gpt-5.6-sol,both_inert,none,1,True,6,2,0.333,0,2,0,0,1,2123,356,6.79
intent_dci,refine,gpt-5.6-sol,both_inert,unit,0,True,6,2,0.333,0,2,0,0,1,2388,305,6.65
intent_dci,refine,gpt-5.6-sol,both_inert,unit,1,True,6,2,0.333,0,2,0,0,1,2405,322,6.63
intent_dci,refine,gpt-5.6-sol,both_inert,invariant,0,True,6,4,0.667,0,2,0,0,1,2548,128,3.58
intent_dci,refine,gpt-5.6-sol,both_inert,invariant,1,True,6,4,0.667,0,2,0,0,1,2573,153,3.9
intent_dci,refine,gpt-5-mini,both_cognitive,none,0,True,6,6,1.0,2,2,0,6,2,7241,1536,16.73
intent_dci,refine,gpt-5-mini,both_cognitive,none,1,True,6,6,1.0,2,2,0,6,2,7188,1472,16.73
intent_dci,refine,gpt-5-mini,both_cognitive,unit,0,True,6,6,1.0,2,2,0,7,2,7998,1600,15.53
intent_dci,refine,gpt-5-mini,both_cognitive,unit,1,True,6,6,1.0,2,2,0,5,2,7452,1408,13.89
intent_dci,refine,gpt-5-mini,both_cognitive,invariant,0,True,6,6,1.0,2,2,0,6,3,12950,1728,24.1
intent_dci,refine,gpt-5-mini,both_cognitive,invariant,1,True,6,6,1.0,2,2,0,5,2,8030,1344,16.08
intent_dci,refine,gpt-5-mini,provider_inert,none,0,True,6,4,0.667,0,2,0,0,2,7793,1984,19.89
intent_dci,refine,gpt-5-mini,provider_inert,none,1,True,6,4,0.667,0,2,0,0,2,7244,1664,17.71
intent_dci,refine,gpt-5-mini,provider_inert,unit,0,True,6,4,0.667,0,2,0,0,2,8566,2112,20.48
intent_dci,refine,gpt-5-mini,provider_inert,unit,1,True,6,4,0.667,0,2,0,0,2,8222,1856,18.26
intent_dci,refine,gpt-5-mini,provider_inert,invariant,0,True,6,4,0.667,0,2,0,0,2,9032,1920,23.67
intent_dci,refine,gpt-5-mini,provider_inert,invariant,1,True,6,4,0.667,0,2,0,0,2,8150,1600,15.62
intent_dci,refine,gpt-5-mini,both_inert,none,0,True,6,4,0.667,0,2,0,0,1,3224,1408,12.52
intent_dci,refine,gpt-5-mini,both_inert,none,1,True,6,2,0.333,0,2,0,0,1,3614,1792,15.15
intent_dci,refine,gpt-5-mini,both_inert,unit,0,True,6,4,0.667,0,2,0,0,1,3309,1216,10.25
intent_dci,refine,gpt-5-mini,both_inert,unit,1,True,6,4,0.667,0,2,0,0,1,3143,1024,9.2
intent_dci,refine,gpt-5-mini,both_inert,invariant,0,True,6,4,0.667,0,2,0,0,1,3496,1024,10.98
intent_dci,refine,gpt-5-mini,both_inert,invariant,1,True,6,4,0.667,0,2,0,0,1,3482,1024,10.77
intent_dci,refine,gpt-5-nano,both_cognitive,none,0,True,6,5,0.833,1,2,0,3,2,8960,2944,13.83
intent_dci,refine,gpt-5-nano,both_cognitive,none,1,True,6,5,0.833,1,2,0,3,2,9004,3072,16.77
intent_dci,refine,gpt-5-nano,both_cognitive,unit,0,True,6,5,0.833,1,2,0,3,2,11139,3648,17.51
intent_dci,refine,gpt-5-nano,both_cognitive,unit,1,True,6,5,0.833,1,2,0,5,2,11258,3520,16.62
intent_dci,refine,gpt-5-nano,both_cognitive,invariant,0,True,6,5,0.833,1,2,0,3,2,10849,3328,16.11
intent_dci,refine,gpt-5-nano,both_cognitive,invariant,1,True,6,5,0.833,1,2,0,4,2,13080,4224,19.29
intent_dci,refine,gpt-5-nano,provider_inert,none,0,True,6,4,0.667,0,2,0,0,1,5262,3456,15.06
intent_dci,refine,gpt-5-nano,provider_inert,none,1,True,6,4,0.667,0,2,0,0,2,11160,4288,18.27
intent_dci,refine,gpt-5-nano,provider_inert,unit,0,True,6,4,0.667,0,2,0,0,2,12966,4928,21.95
intent_dci,refine,gpt-5-nano,provider_inert,unit,1,True,6,4,0.667,0,2,0,0,2,11432,4160,18.13
intent_dci,refine,gpt-5-nano,provider_inert,invariant,0,True,6,4,0.667,0,2,0,0,1,5985,3520,15.85
intent_dci,refine,gpt-5-nano,provider_inert,invariant,1,True,6,4,0.667,0,2,0,0,1,5843,3328,40.16
intent_dci,refine,gpt-5-nano,both_inert,none,0,True,6,4,0.667,0,2,0,0,2,11003,4096,18.05
intent_dci,refine,gpt-5-nano,both_inert,none,1,True,6,4,0.667,0,2,0,0,2,10692,3648,17.04
intent_dci,refine,gpt-5-nano,both_inert,unit,0,True,6,4,0.667,0,2,0,0,2,12435,4608,25.19
intent_dci,refine,gpt-5-nano,both_inert,unit,1,True,6,4,0.667,0,2,0,0,2,11257,3904,16.39
intent_dci,refine,gpt-5-nano,both_inert,invariant,0,True,6,4,0.667,0,2,0,0,1,5942,3520,18.45
intent_dci,refine,gpt-5-nano,both_inert,invariant,1,True,6,4,0.667,0,2,0,0,2,11023,3264,14.92
