case,phase,model,trajectory,policy,placement,trial,setpiece,submitted,n_hops,fulfilment_correct,decision_correct,migration_correct,hop_accuracy,telemetry_calls,best_calls,policy_calls,turns,total_tokens,reasoning_tokens,latency_s
intent_metro,assure,gpt-5.6-sol,TM1,premium,both_cognitive,0,True,True,4,3,4,4,0.75,4,2,2,10,29593,610,27.05
intent_metro,assure,gpt-5.6-sol,TM1,premium,both_cognitive,1,True,True,4,3,4,4,0.75,4,2,2,11,31476,549,26.7
intent_metro,assure,gpt-5.6-sol,TM2,assured,both_cognitive,0,False,True,2,2,2,2,1.0,2,1,1,6,13872,339,14.58
intent_metro,assure,gpt-5.6-sol,TM2,assured,both_cognitive,1,False,True,2,1,2,2,0.5,2,1,1,6,13310,221,12.56
intent_metro,assure,gpt-5-mini,TM1,premium,both_cognitive,0,True,True,4,3,4,4,0.75,4,2,2,11,38728,1728,31.18
intent_metro,assure,gpt-5-mini,TM1,premium,both_cognitive,1,True,True,4,3,4,4,0.75,4,2,2,11,38159,1536,30.51
intent_metro,assure,gpt-5-mini,TM2,assured,both_cognitive,0,False,True,2,1,2,2,0.5,2,1,1,6,16048,768,18.01
intent_metro,assure,gpt-5-mini,TM2,assured,both_cognitive,1,False,True,2,0,2,2,0.0,2,0,1,5,12377,704,13.86
intent_metro,assure,gpt-5-nano,TM1,premium,both_cognitive,0,True,True,4,3,3,3,0.5,4,1,3,5,42126,6656,36.11
intent_metro,assure,gpt-5-nano,TM1,premium,both_cognitive,1,True,True,4,3,3,3,0.5,4,1,5,13,124892,8960,55.01
intent_metro,assure,gpt-5-nano,TM2,assured,both_cognitive,0,False,True,2,1,2,1,0.0,2,1,1,5,30851,5248,30.67
intent_metro,assure,gpt-5-nano,TM2,assured,both_cognitive,1,False,True,2,1,2,2,0.5,2,1,1,3,14158,3648,20.3
