case,model,sweep,level,n_entries,fields,uses_reference,trial,precision,recall,seam_recall,took_grade_cognate,surviving_false_cognates,residual,reasoning_tokens,missed
config_cross_domain,gpt-5.6-sol,coverage,0,0,none,False,0,1.0,0.2,0.5,0,0,13,634,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,coverage,0,0,none,False,1,1.0,0.2,0.5,0,0,13,511,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,coverage,0,0,none,False,2,1.0,0.2,0.5,0,0,13,533,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,coverage,1,1,full,True,0,1.0,0.2,0.5,0,0,13,75,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,coverage,1,1,full,True,1,1.0,0.2,0.5,0,0,13,116,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,coverage,1,1,full,True,2,1.0,0.2,0.5,0,0,13,51,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,coverage,2,2,full,True,0,1.0,0.4,1.0,0,0,11,148,c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,coverage,2,2,full,True,1,1.0,0.4,1.0,0,0,11,151,c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,coverage,2,2,full,True,2,1.0,0.4,1.0,0,0,11,169,c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,coverage,3,3,full,True,0,1.0,0.6,1.0,0,0,9,73,c.latency~m.latency;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,coverage,3,3,full,True,1,1.0,0.6,1.0,0,0,9,78,c.latency~m.latency;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,coverage,3,3,full,True,2,1.0,0.6,1.0,0,0,9,184,c.latency~m.latency;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,coverage,4,4,full,True,0,1.0,0.8,1.0,0,0,7,316,c.rate~m.rate
config_cross_domain,gpt-5.6-sol,coverage,4,4,full,True,1,1.0,0.8,1.0,0,0,7,310,c.rate~m.rate
config_cross_domain,gpt-5.6-sol,coverage,4,4,full,True,2,1.0,0.8,1.0,0,0,7,102,c.rate~m.rate
config_cross_domain,gpt-5.6-sol,coverage,5,5,full,True,0,1.0,1.0,1.0,0,0,5,246,
config_cross_domain,gpt-5.6-sol,coverage,5,5,full,True,1,1.0,1.0,1.0,0,0,5,225,
config_cross_domain,gpt-5.6-sol,coverage,5,5,full,True,2,1.0,1.0,1.0,0,0,5,225,
config_cross_domain,gpt-5.6-sol,fields,id_only,5,id_only,True,0,1.0,1.0,1.0,0,0,5,553,
config_cross_domain,gpt-5.6-sol,fields,id_only,5,id_only,True,1,1.0,0.2,0.5,0,0,13,1138,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,fields,id_only,5,id_only,True,2,1.0,0.2,0.5,0,0,13,600,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5.6-sol,fields,label,5,label,True,0,1.0,1.0,1.0,0,0,5,80,
config_cross_domain,gpt-5.6-sol,fields,label,5,label,True,1,1.0,1.0,1.0,0,0,5,300,
config_cross_domain,gpt-5.6-sol,fields,label,5,label,True,2,1.0,1.0,1.0,0,0,5,352,
config_cross_domain,gpt-5.6-sol,fields,definition,5,definition,True,0,1.0,1.0,1.0,0,0,5,222,
config_cross_domain,gpt-5.6-sol,fields,definition,5,definition,True,1,1.0,1.0,1.0,0,0,5,107,
config_cross_domain,gpt-5.6-sol,fields,definition,5,definition,True,2,1.0,1.0,1.0,0,0,5,225,
config_cross_domain,gpt-5.6-sol,fields,def_example,5,def_example,True,0,1.0,0.8,1.0,0,0,7,789,c.latency~m.latency
config_cross_domain,gpt-5.6-sol,fields,def_example,5,def_example,True,1,1.0,1.0,1.0,0,0,5,125,
config_cross_domain,gpt-5.6-sol,fields,def_example,5,def_example,True,2,1.0,0.8,1.0,0,0,7,735,c.latency~m.latency
config_cross_domain,gpt-5-mini,coverage,0,0,none,False,0,0.833,1.0,1.0,1,1,3,1216,
config_cross_domain,gpt-5-mini,coverage,0,0,none,False,1,0.833,1.0,1.0,1,1,3,960,
config_cross_domain,gpt-5-mini,coverage,0,0,none,False,2,0.833,1.0,1.0,1,1,3,2112,
config_cross_domain,gpt-5-mini,coverage,1,1,full,True,0,1.0,0.4,1.0,0,0,11,2048,c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5-mini,coverage,1,1,full,True,1,0.833,1.0,1.0,1,1,3,1088,
config_cross_domain,gpt-5-mini,coverage,1,1,full,True,2,1.0,0.2,0.5,0,0,13,960,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5-mini,coverage,2,2,full,True,0,1.0,0.4,1.0,0,0,11,1216,c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5-mini,coverage,2,2,full,True,1,0.833,1.0,1.0,1,1,3,1216,
config_cross_domain,gpt-5-mini,coverage,2,2,full,True,2,0.833,1.0,1.0,1,1,3,576,
config_cross_domain,gpt-5-mini,coverage,3,3,full,True,0,1.0,0.8,1.0,0,0,7,1408,c.latency~m.latency
config_cross_domain,gpt-5-mini,coverage,3,3,full,True,1,0.8,0.8,1.0,1,1,5,1344,c.latency~m.latency
config_cross_domain,gpt-5-mini,coverage,3,3,full,True,2,0.833,1.0,1.0,1,1,3,960,
