operation,model,metric,on_mean,off_mean,delta,n_on,n_off,condition
attribute pinning,gpt-5.6-sol,recall,0.617,0.67,-0.053,48,48,both_inert; main effect of 'attrs' over the evidence factorial
attribute pinning,gpt-5.6-sol,precision,1.0,1.0,0.0,48,48,both_inert; main effect of 'attrs' over the evidence factorial
attribute pinning,gpt-5-mini,recall,0.761,0.737,0.025,48,48,both_inert; main effect of 'attrs' over the evidence factorial
attribute pinning,gpt-5-mini,precision,0.986,0.943,0.044,48,48,both_inert; main effect of 'attrs' over the evidence factorial
attribute pinning,gpt-5-nano,recall,0.915,0.727,0.188,48,48,both_inert; main effect of 'attrs' over the evidence factorial
attribute pinning,gpt-5-nano,precision,0.971,0.823,0.148,48,48,both_inert; main effect of 'attrs' over the evidence factorial
pragmatic resolution,gpt-5.6-sol,verdict_accuracy,0.75,0.417,0.333,6,6,act/watch/suppress verdict; over contexts normal/maintenance/holiday
pragmatic resolution,gpt-5-mini,verdict_accuracy,0.861,0.278,0.583,6,6,act/watch/suppress verdict; over contexts normal/maintenance/holiday
pragmatic resolution,gpt-5-nano,verdict_accuracy,0.528,0.5,0.028,6,6,act/watch/suppress verdict; over contexts normal/maintenance/holiday
composition & correlation,gpt-5.6-sol,partition_exact,1.0,0.333,0.667,6,6,incident partition over scenarios S1/S2/S3
composition & correlation,gpt-5.6-sol,cause_accuracy,1.0,0.417,0.583,6,6,incident partition over scenarios S1/S2/S3
composition & correlation,gpt-5-mini,partition_exact,1.0,0.0,1.0,6,6,incident partition over scenarios S1/S2/S3
composition & correlation,gpt-5-mini,cause_accuracy,1.0,0.0,1.0,6,6,incident partition over scenarios S1/S2/S3
composition & correlation,gpt-5-nano,partition_exact,1.0,0.0,1.0,6,6,incident partition over scenarios S1/S2/S3
composition & correlation,gpt-5-nano,cause_accuracy,1.0,0.0,1.0,6,6,incident partition over scenarios S1/S2/S3
