case,setting,stack,model,uses_reference,trial,precision,resolved_fraction,surviving_false_cognates,residual,turns,total_tokens,reasoning_tokens,latency_s
config_l3vpn,1 · configuration (breadth),single,gpt-5.6-sol,False,0,1.0,1.0,0,4,,3229,147,10.87
config_l3vpn,1 · configuration (breadth),two-agent,gpt-5.6-sol,False,0,1.0,0.818,0,8,4,21445,1212,80.1
config_l3vpn,1 · configuration (breadth),single,gpt-5.6-sol,False,1,1.0,1.0,0,4,,3243,158,9.81
config_l3vpn,1 · configuration (breadth),two-agent,gpt-5.6-sol,False,1,1.0,0.727,0,10,6,35348,1990,103.33
config_l3vpn,1 · configuration (breadth),single,gpt-5.6-sol,True,0,1.0,1.0,0,4,,3982,0,6.55
config_l3vpn,1 · configuration (breadth),two-agent,gpt-5.6-sol,True,0,1.0,1.0,0,4,4,25477,781,75.67
config_l3vpn,1 · configuration (breadth),single,gpt-5.6-sol,True,1,1.0,1.0,0,4,,3982,0,5.02
config_l3vpn,1 · configuration (breadth),two-agent,gpt-5.6-sol,True,1,1.0,0.818,0,8,4,22370,1247,64.55
config_l3vpn,1 · configuration (breadth),single,gpt-5-mini,False,0,0.917,1.0,0,2,,4498,1088,30.15
config_l3vpn,1 · configuration (breadth),two-agent,gpt-5-mini,False,0,0.917,1.0,0,2,4,29816,6080,104.83
config_l3vpn,1 · configuration (breadth),single,gpt-5-mini,False,1,0.917,1.0,0,2,,4108,704,17.98
config_l3vpn,1 · configuration (breadth),two-agent,gpt-5-mini,False,1,0.917,1.0,0,2,4,31915,6784,110.85
config_l3vpn,1 · configuration (breadth),single,gpt-5-mini,True,0,1.0,1.0,0,4,,5076,704,14.97
config_l3vpn,1 · configuration (breadth),two-agent,gpt-5-mini,True,0,0.917,1.0,0,2,4,31906,7424,128.22
config_l3vpn,1 · configuration (breadth),single,gpt-5-mini,True,1,1.0,1.0,0,4,,5266,896,16.2
config_l3vpn,1 · configuration (breadth),two-agent,gpt-5-mini,True,1,0.917,1.0,0,2,6,47978,9600,135.13
config_l3vpn,1 · configuration (breadth),single,gpt-5-nano,False,0,0.917,1.0,0,2,,6837,3520,31.54
config_l3vpn,1 · configuration (breadth),two-agent,gpt-5-nano,False,0,1.0,0.364,0,18,12,178773,83392,735.32
config_l3vpn,1 · configuration (breadth),single,gpt-5-nano,False,1,0.917,1.0,0,2,,7054,3776,37.71
config_l3vpn,1 · configuration (breadth),two-agent,gpt-5-nano,False,1,1.0,0.364,0,18,12,171304,95168,877.07
config_l3vpn,1 · configuration (breadth),single,gpt-5-nano,True,0,1.0,1.0,0,4,,7023,2752,33.77
config_l3vpn,1 · configuration (breadth),two-agent,gpt-5-nano,True,0,1.0,0.182,0,22,12,177105,73920,689.47
config_l3vpn,1 · configuration (breadth),single,gpt-5-nano,True,1,1.0,1.0,0,4,,7755,3520,36.15
config_l3vpn,1 · configuration (breadth),two-agent,gpt-5-nano,True,1,1.0,0.545,0,14,12,190429,95744,790.55
config_evpn,1 · configuration (breadth),single,gpt-5.6-sol,False,0,1.0,1.0,0,5,,2716,117,8.94
config_evpn,1 · configuration (breadth),two-agent,gpt-5.6-sol,False,0,1.0,0.375,0,15,4,21069,1170,82.92
