case,setting,stack,model,uses_reference,trial,precision,resolved_fraction,surviving_false_cognates,residual,turns,total_tokens,reasoning_tokens,latency_s
config_tapi_teas,1 · configuration (flagship),single,gpt-5.6-sol,False,0,0.9,1.0,0,0,,3416,981,28.27
config_tapi_teas,1 · configuration (flagship),two-agent,gpt-5.6-sol,False,0,1.0,0.444,0,12,4,20660,1178,71.87
config_tapi_teas,1 · configuration (flagship),single,gpt-5.6-sol,True,0,1.0,1.0,0,2,,3057,0,3.99
config_tapi_teas,1 · configuration (flagship),two-agent,gpt-5.6-sol,True,0,1.0,1.0,0,2,4,19545,326,40.85
config_big_hard,1 · configuration (hard),single,gpt-5.6-sol,False,0,1.0,0.917,0,9,,4826,1536,35.4
config_big_hard,1 · configuration (hard),two-agent,gpt-5.6-sol,False,0,1.0,0.667,0,15,6,46694,2215,105.6
config_big_hard,1 · configuration (hard),single,gpt-5.6-sol,True,0,1.0,1.0,0,7,,4549,121,8.6
config_big_hard,1 · configuration (hard),two-agent,gpt-5.6-sol,True,0,1.0,1.0,0,7,4,27555,749,68.98
config_cross_domain,3 · cross-domain,single,gpt-5.6-sol,False,0,1.0,0.6,0,9,,2646,706,16.05
config_cross_domain,3 · cross-domain,two-agent,gpt-5.6-sol,False,0,1.0,0.2,0,13,4,15468,795,50.44
config_cross_domain,3 · cross-domain,single,gpt-5.6-sol,True,0,1.0,1.0,0,5,,2626,0,4.5
config_cross_domain,3 · cross-domain,two-agent,gpt-5.6-sol,True,0,1.0,1.0,0,5,4,15810,518,42.37
config_observability,4 · observability,single,gpt-5.6-sol,False,0,1.0,0.25,0,15,,2995,936,17.94
config_observability,4 · observability,two-agent,gpt-5.6-sol,False,0,1.0,0.25,0,15,4,17371,1286,65.02
config_observability,4 · observability,single,gpt-5.6-sol,True,0,1.0,0.75,0,11,,2820,53,4.71
config_observability,4 · observability,two-agent,gpt-5.6-sol,True,0,1.0,0.75,0,11,4,17713,842,64.82
