case,agent_source,model,placement,trial,n_proposals,oracle_reach,agent_reach,co_decided,agree,disagree,agreement_rate,agent_pass_oracle_fail,agent_fail_oracle_pass,agent_only_decided,oracle_only_decided,disagree_oracle_right,disagree_agent_right,agent_acc_where_decided,oracle_acc_where_decided
verify_hard,byte,deterministic,both_cognitive,0,14,11,14,11,6,5,0.545,5,0,3,0,5,0,0.571,1.0
verify_hard,byte,deterministic,one_inert,0,14,3,14,3,2,1,0.667,1,0,11,0,1,0,0.571,1.0
verify_hard,byte,deterministic,both_inert,0,14,0,14,0,0,0,,0,0,14,0,0,0,0.571,
verify_hard,invariant,gpt-5.6-sol,both_cognitive,0,14,11,14,11,7,4,0.636,4,0,3,0,4,0,0.714,1.0
verify_hard,invariant,gpt-5.6-sol,both_cognitive,1,14,11,14,11,7,4,0.636,4,0,3,0,4,0,0.714,1.0
verify_hard,invariant,gpt-5.6-sol,both_cognitive,2,14,11,14,11,7,4,0.636,4,0,3,0,4,0,0.714,1.0
verify_hard,invariant,gpt-5.6-sol,both_cognitive,3,14,11,14,11,7,4,0.636,4,0,3,0,4,0,0.714,1.0
verify_hard,invariant,gpt-5.6-sol,both_cognitive,4,14,11,14,11,7,4,0.636,4,0,3,0,4,0,0.714,1.0
verify_hard,invariant,gpt-5.6-sol,both_cognitive,5,14,11,14,11,7,4,0.636,4,0,3,0,4,0,0.714,1.0
verify_hard,invariant,gpt-5.6-sol,one_inert,0,14,3,14,3,3,0,1.0,0,0,11,0,0,0,0.714,1.0
verify_hard,invariant,gpt-5.6-sol,one_inert,1,14,3,14,3,3,0,1.0,0,0,11,0,0,0,0.714,1.0
verify_hard,invariant,gpt-5.6-sol,one_inert,2,14,3,14,3,3,0,1.0,0,0,11,0,0,0,0.714,1.0
verify_hard,invariant,gpt-5.6-sol,one_inert,3,14,3,14,3,3,0,1.0,0,0,11,0,0,0,0.714,1.0
verify_hard,invariant,gpt-5.6-sol,one_inert,4,14,3,14,3,3,0,1.0,0,0,11,0,0,0,0.714,1.0
verify_hard,invariant,gpt-5.6-sol,one_inert,5,14,3,14,3,3,0,1.0,0,0,11,0,0,0,0.714,1.0
verify_hard,invariant,gpt-5.6-sol,both_inert,0,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
verify_hard,invariant,gpt-5.6-sol,both_inert,1,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
verify_hard,invariant,gpt-5.6-sol,both_inert,2,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
verify_hard,invariant,gpt-5.6-sol,both_inert,3,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
verify_hard,invariant,gpt-5.6-sol,both_inert,4,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
verify_hard,invariant,gpt-5.6-sol,both_inert,5,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
verify_hard,invariant,gpt-5-mini,both_cognitive,0,14,11,14,11,7,4,0.636,4,0,3,0,4,0,0.714,1.0
verify_hard,invariant,gpt-5-mini,both_cognitive,1,14,11,14,11,7,4,0.636,4,0,3,0,4,0,0.714,1.0
verify_hard,invariant,gpt-5-mini,both_cognitive,2,14,11,14,11,7,4,0.636,4,0,3,0,4,0,0.714,1.0
verify_hard,invariant,gpt-5-mini,both_cognitive,3,14,11,14,11,7,4,0.636,4,0,3,0,4,0,0.714,1.0
verify_hard,invariant,gpt-5-mini,both_cognitive,4,14,11,14,11,7,4,0.636,4,0,3,0,4,0,0.714,1.0
verify_hard,invariant,gpt-5-mini,both_cognitive,5,14,11,14,11,7,4,0.636,4,0,3,0,4,0,0.714,1.0
verify_hard,invariant,gpt-5-mini,one_inert,0,14,3,14,3,3,0,1.0,0,0,11,0,0,0,0.714,1.0
verify_hard,invariant,gpt-5-mini,one_inert,1,14,3,14,3,3,0,1.0,0,0,11,0,0,0,0.714,1.0
verify_hard,invariant,gpt-5-mini,one_inert,2,14,3,14,3,3,0,1.0,0,0,11,0,0,0,0.714,1.0
verify_hard,invariant,gpt-5-mini,one_inert,3,14,3,14,3,3,0,1.0,0,0,11,0,0,0,0.714,1.0
verify_hard,invariant,gpt-5-mini,one_inert,4,14,3,14,3,3,0,1.0,0,0,11,0,0,0,0.714,1.0
verify_hard,invariant,gpt-5-mini,one_inert,5,14,3,14,3,3,0,1.0,0,0,11,0,0,0,0.714,1.0
verify_hard,invariant,gpt-5-mini,both_inert,0,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
verify_hard,invariant,gpt-5-mini,both_inert,1,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
verify_hard,invariant,gpt-5-mini,both_inert,2,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
verify_hard,invariant,gpt-5-mini,both_inert,3,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
verify_hard,invariant,gpt-5-mini,both_inert,4,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
verify_hard,invariant,gpt-5-mini,both_inert,5,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
