case,mode,model,placement,trial,n_correct,n_wrong,pass_correct,fail_correct,refer_correct,catch_wrong,false_pass,refer_wrong,verification_precision,catch_rate,false_pass_rate,reach,mv_catch_rate,bc_catch_rate,total_tokens,reasoning_tokens,latency_s
verify_hard,byte,deterministic,both_cognitive,0,8,6,8,0,0,0,6,0,0.571,0.0,1.0,1.0,0.0,0.0,,,
verify_hard,virtual,deterministic,both_cognitive,0,8,6,6,0,2,5,0,1,1.0,0.833,0.0,0.786,0.5,1.0,,,
verify_hard,byte,deterministic,one_inert,0,8,6,8,0,0,0,6,0,0.571,0.0,1.0,1.0,0.0,0.0,,,
verify_hard,virtual,deterministic,one_inert,0,8,6,2,0,6,1,0,5,1.0,0.167,0.0,0.214,0.5,0.0,,,
verify_hard,byte,deterministic,both_inert,0,8,6,8,0,0,0,6,0,0.571,0.0,1.0,1.0,0.0,0.0,,,
verify_hard,virtual,deterministic,both_inert,0,8,6,0,0,8,0,0,6,,0.0,0.0,0.0,0.0,0.0,,,
verify_hard,invariant,gpt-5.6-sol,both_cognitive,0,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4274,87,10.91
verify_hard,invariant,gpt-5.6-sol,both_cognitive,1,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4521,322,15.11
verify_hard,invariant,gpt-5.6-sol,both_cognitive,2,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4335,214,12.77
verify_hard,invariant,gpt-5.6-sol,both_cognitive,3,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4233,109,10.75
verify_hard,invariant,gpt-5.6-sol,both_cognitive,4,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4426,240,13.71
verify_hard,invariant,gpt-5.6-sol,both_cognitive,5,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4361,168,11.14
verify_hard,invariant,gpt-5.6-sol,one_inert,0,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4276,183,10.78
verify_hard,invariant,gpt-5.6-sol,one_inert,1,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4368,289,11.93
verify_hard,invariant,gpt-5.6-sol,one_inert,2,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4286,159,10.65
verify_hard,invariant,gpt-5.6-sol,one_inert,3,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4416,303,13.9
verify_hard,invariant,gpt-5.6-sol,one_inert,4,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4394,229,13.11
verify_hard,invariant,gpt-5.6-sol,one_inert,5,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4312,228,11.75
verify_hard,invariant,gpt-5.6-sol,both_inert,0,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4373,256,11.48
verify_hard,invariant,gpt-5.6-sol,both_inert,1,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4274,148,10.19
verify_hard,invariant,gpt-5.6-sol,both_inert,2,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4419,240,13.67
verify_hard,invariant,gpt-5.6-sol,both_inert,3,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4362,224,12.9
verify_hard,invariant,gpt-5.6-sol,both_inert,4,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4296,195,10.67
verify_hard,invariant,gpt-5.6-sol,both_inert,5,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,4418,283,14.34
verify_hard,invariant,gpt-5-mini,both_cognitive,0,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,6535,1984,40.74
verify_hard,invariant,gpt-5-mini,both_cognitive,1,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,6222,1664,36.45
verify_hard,invariant,gpt-5-mini,both_cognitive,2,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,6114,1600,36.35
verify_hard,invariant,gpt-5-mini,both_cognitive,3,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,6980,2432,45.57
verify_hard,invariant,gpt-5-mini,both_cognitive,4,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,6189,1728,38.52
verify_hard,invariant,gpt-5-mini,both_cognitive,5,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,6063,1600,32.82
verify_hard,invariant,gpt-5-mini,one_inert,0,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,6301,1792,34.34
verify_hard,invariant,gpt-5-mini,one_inert,1,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,6438,1728,40.45
verify_hard,invariant,gpt-5-mini,one_inert,2,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,5728,1216,25.41
verify_hard,invariant,gpt-5-mini,one_inert,3,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,5567,1344,24.28
verify_hard,invariant,gpt-5-mini,one_inert,4,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,5648,1280,25.4
verify_hard,invariant,gpt-5-mini,one_inert,5,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,6155,1728,30.52
verify_hard,invariant,gpt-5-mini,both_inert,0,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,6208,1664,34.39
verify_hard,invariant,gpt-5-mini,both_inert,1,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,5661,1216,24.85
verify_hard,invariant,gpt-5-mini,both_inert,2,8,6,7,0,1,2,4,0,0.636,0.333,0.667,0.929,1.0,0.0,5654,1280,26.31
verify_hard,invariant,gpt-5-mini,both_inert,3,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,5970,1536,24.91
verify_hard,invariant,gpt-5-mini,both_inert,4,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,6830,2304,42.08
verify_hard,invariant,gpt-5-mini,both_inert,5,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,5658,1344,27.12
verify_hard,invariant,gpt-5-nano,both_cognitive,0,8,6,7,0,1,2,3,1,0.7,0.333,0.5,0.857,1.0,0.0,12644,8256,52.87
verify_hard,invariant,gpt-5-nano,both_cognitive,1,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,10751,6464,40.82
verify_hard,invariant,gpt-5-nano,both_cognitive,2,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,17357,12992,78.95
verify_hard,invariant,gpt-5-nano,both_cognitive,3,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,13919,9408,69.66
verify_hard,invariant,gpt-5-nano,both_cognitive,4,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,12231,7872,53.2
verify_hard,invariant,gpt-5-nano,both_cognitive,5,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,12617,8320,45.99
verify_hard,invariant,gpt-5-nano,one_inert,0,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,12558,8320,60.95
verify_hard,invariant,gpt-5-nano,one_inert,1,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,10457,6208,53.05
verify_hard,invariant,gpt-5-nano,one_inert,2,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,10013,5632,41.57
verify_hard,invariant,gpt-5-nano,one_inert,3,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,10528,6016,38.29
verify_hard,invariant,gpt-5-nano,one_inert,4,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,10341,6080,37.07
verify_hard,invariant,gpt-5-nano,one_inert,5,8,6,8,0,0,2,3,1,0.727,0.333,0.5,0.929,1.0,0.0,13118,8640,53.19
verify_hard,invariant,gpt-5-nano,both_inert,0,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,10909,6528,37.58
verify_hard,invariant,gpt-5-nano,both_inert,1,8,6,8,0,0,2,4,0,0.667,0.333,0.667,1.0,1.0,0.0,12568,8256,50.28
